Lab nr.	Matrix	Rapp.frist 01.02.21   Prøvested	LIMS NR	Unit1	Unit2	Unit3	Label	Data	Data>LOQ	LOQ	Unit	HalfLOD	Det_freq
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PCB-66	"0,297"	"0,297"		ng/g	"0,297"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PCB-74	"0,135"	"0,135"		ng/g	"0,135"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	Sum-TetCB	"0,686"	"0,686"		ng/g	"0,686"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PCB-99	"0,507"	"0,507"		ng/g	"0,507"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PCB-101	"0,0599"	"0,0599"		ng/g	"0,0599"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PCB-105	"0,258"	"0,258"		ng/g	"0,258"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PCB-114	"0,0231"	"0,0231"		ng/g	"0,0231"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PCB-118	"0,596"	"0,596"		ng/g	"0,596"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PCB-122	"-0,00269"		"0,00269"	ng/g	"0,00135"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PCB-123	"0,0114"	"0,0114"		ng/g	"0,0114"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	Sum-PenCB	"1,78"	"1,78"		ng/g	"1,78"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PCB-128	"0,170"	"0,170"		ng/g	"0,170"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PCB-138	"2,20"	"2,20"		ng/g	"2,20"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PCB-141	"0,0101"	"0,0101"		ng/g	"0,0101"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PCB-149	"0,165"	"0,165"		ng/g	"0,165"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PCB-153	"4,57"	"4,57"		ng/g	"4,57"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PCB-156	"0,0661"	"0,0661"		ng/g	"0,0661"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PCB-157	"0,0133"	"0,0133"		ng/g	"0,0133"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PCB-167	"0,0285"	"0,0285"		ng/g	"0,0285"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	Sum-HexCB	"5,38"	"5,38"		ng/g	"5,38"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PCB-170	"0,160"	"0,160"		ng/g	"0,160"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PCB-180	"0,697"	"0,697"		ng/g	"0,697"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PCB-183	"0,248"	"0,248"		ng/g	"0,248"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PCB-187	"0,542"	"0,542"		ng/g	"0,542"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PCB-189	"0,00607"	"0,00607"		ng/g	"0,00607"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	Sum-HepCB	"1,91"	"1,91"		ng/g	"1,91"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PCB-194	"0,0422"	"0,0422"		ng/g	"0,0422"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PCB-206	"0,0109"	"0,0109"		ng/g	"0,0109"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PCB-209	"0,00537"	"0,00537"		ng/g	"0,00537"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	Sum 7 PCB	"8,25"	"8,25"		ng/g	"8,25"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	Sum all PCB	"9,81"	"9,81"		ng/g	"9,81"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	TBA	"-0,0113"		"0,0113"	ng/g	"0,00565"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PBDE-17	"-0,00579"		"0,00579"	ng/g	"0,00290"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PBDE-28	"-0,00641"		"0,00641"	ng/g	"0,00321"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PBDE-47	"0,0344"	"0,0344"		ng/g	"0,0344"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PBDE-49	"-0,00465"		"0,00465"	ng/g	"0,00233"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PBDE-66	"-0,00441"		"0,00441"	ng/g	"0,00221"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PBDE-71	"-0,00344"		"0,00344"	ng/g	"0,00172"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PBDE-77	"-0,00338"		"0,00338"	ng/g	"0,00169"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PBDE-85	"-0,00395"		"0,00395"	ng/g	"0,00198"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PBDE-99	"0,0195"	"0,0195"		ng/g	"0,0195"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PBDE-100	"0,00702"	"0,00702"		ng/g	"0,00702"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PBDE-119	"-0,00362"		"0,00362"	ng/g	"0,00181"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PBDE-126	"-0,00300"		"0,00300"	ng/g	"0,00150"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PBDE-138	"-0,0110"		"0,0110"	ng/g	"0,00550"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PBDE-153	"-0,0103"		"0,0103"	ng/g	"0,00515"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PBDE-154	"-0,00869"		"0,00869"	ng/g	"0,00435"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PBDE-156	"-0,0168"		"0,0168"	ng/g	"0,00840"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PBDE-183	"-0,00721"		"0,00721"	ng/g	"0,00361"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PBDE-184	"-0,00687"		"0,00687"	ng/g	"0,00344"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PBDE-191	"-0,00966"		"0,00966"	ng/g	"0,00483"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PBDE-196	"-0,0133"		"0,0133"	ng/g	"0,00665"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PBDE-197	"-0,0104"		"0,0104"	ng/g	"0,00520"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PBDE-202	"-0,0156"		"0,0156"	ng/g	"0,00780"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PBDE-206	"-0,0433"		"0,0433"	ng/g	"0,0216"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PBDE-207	"-0,0274"		"0,0274"	ng/g	"0,0137"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PBDE-209	"-0,366"		"0,366"	ng/g	"0,183"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	ATE (TBP-AE)	"-0,0110"		"0,0110"	ng/g	"0,00550"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	a-TBECH	"-0,0990"		"0,0990"	ng/g	"0,0495"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	b-TBECH	"-0,0711"		"0,0711"	ng/g	"0,0355"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	g/d-TBECH	"-0,0403"		"0,0403"	ng/g	"0,0202"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	BATE	"-0,0128"		"0,0128"	ng/g	"0,00640"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PBT	"-0,0352"		"0,0352"	ng/g	"0,0176"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PBEB	"-0,0143"		"0,0143"	ng/g	"0,00715"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	PBBZ	"-0,240"		"0,240"	ng/g	"0,120"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	HBB	"-0,0974"		"0,0974"	ng/g	"0,0487"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	DPTE	"-0,00825"		"0,00825"	ng/g	"0,00413"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	EHTBB	"-0,0135"		"0,0135"	ng/g	"0,00675"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	BTBPE	"-0,0308"		"0,0308"	ng/g	"0,0154"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	TBPH (BEH /TBP)	"-0,0694"		"0,0694"	ng/g	"0,0347"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	DBDPE	"-14,2"		"14,2"	ng/g	"7,10"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	SCCP	"-0,688"		"0,688"	ng/g	"0,344"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	MCCP	"-1,48"		"1,48"	ng/g	"0,742"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	"4,4-bis-A"	"-4,20"		"4,20"	ng/g	"2,10"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	"2,4-bis-A"	"-0,500"		"0,500"	ng/g	"0,250"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	Bis-FL	"-1,30"		"1,30"	ng/g	"0,650"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	Bis-B	"-1,00"		"1,00"	ng/g	"0,500"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	Bis-E	"-0,700"		"0,700"	ng/g	"0,350"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	"4,4-bis-S"	"-8,00"		"8,00"	ng/g	"4,00"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	"2,4-bis-S"	"-0,200"		"0,200"	ng/g	"0,100"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	"4,4-bis-F"	"-2,10"		"2,10"	ng/g	"1,05"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	"2,4-bis-F"	"-3,80"		"3,80"	ng/g	"1,90"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	"2,2-bis-F"	"-0,200"		"0,200"	ng/g	"0,100"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	bis-M	"-0,400"		"0,400"	ng/g	"0,200"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	bis-Z	"-1,40"		"1,40"	ng/g	"0,700"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	bis-AF	"-2,00"		"2,00"	ng/g	"1,00"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	bis-AP	"-0,700"		"0,700"	ng/g	"0,350"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	TBBPA	"-3,60"		"3,60"	ng/g	"1,80"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	4-tert-octylphenol	"-2,10"		"2,10"	ng/g	"1,05"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	4-octylphenol	"-2,00"		"2,00"	ng/g	"1,00"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	4-nonylphenol	"-4,50"		"4,50"	ng/g	"2,25"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	AO Mb1	"-7,50"		"7,50"	ng/g	"3,75"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	D4	"-2,81"		"2,81"	ng/g	"1,41"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	D5	"0,531"	"0,531"		ng/g	"0,531"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	D6	"0,437"	"0,437"		ng/g	"0,437"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	M3T	"-0,310"		"0,310"	ng/g	"0,155"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	52  Cr  [ He ]	"-0,00519"		"0,00519"	ug/g	"0,00259"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	56  Fe  [ He ]	475	475		ug/g	475	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	60  Ni  [ He ]	"-0,00268"		"0,00268"	ug/g	"0,00134"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	63  Cu  [ He ]	"0,454"	"0,454"		ug/g	"0,454"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	66  Zn  [ He ]	"3,69"	"3,69"		ug/g	"3,69"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	75  As  [ He ]	"0,313"	"0,313"		ug/g	"0,313"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	107  Ag  [ No Gas ]	"-0,000358"		"0,000358"	ug/g	"0,000179"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	111  Cd  [ No Gas ]	"0,000622"	"0,000622"		ug/g	"0,000622"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	121  Sb  [ No Gas ]	"-0,000273"		"0,000273"	ug/g	"0,000136"	ND
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	208  Pb  [ No Gas ]	"0,0286"	"0,0286"		ug/g	"0,0286"	>LOQ
20/1729	Gråmåke blod	Skjærholmene	NR-2020-08486	ng/g	ug/g	ng/g	202  Hg  [ No Gas ]	"81,1"	"81,1"		ng/g	"81,1"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	Fettprosent	"0,260"	"0,260"			"0,260"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PeCB	"-0,0354"		"0,0354"	ng/g	"0,0177"	ND
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	HCB	"0,171"	"0,171"		ng/g	"0,171"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PCB-18	"-0,0174"		"0,0174"	ng/g	"0,00870"	ND
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PCB-28	"0,118"	"0,118"		ng/g	"0,118"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PCB-31	"-0,0148"		"0,0148"	ng/g	"0,00740"	ND
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PCB-33	"-0,00953"		"0,00953"	ng/g	"0,00477"	ND
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PCB-37	"-0,00457"		"0,00457"	ng/g	"0,00229"	ND
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	Sum-TriCB	"0,148"	"0,148"		ng/g	"0,148"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PCB-47	"0,692"	"0,692"		ng/g	"0,692"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PCB-52	"0,106"	"0,106"		ng/g	"0,106"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PCB-66	"1,44"	"1,44"		ng/g	"1,44"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PCB-74	"0,667"	"0,667"		ng/g	"0,667"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	Sum-TetCB	"2,99"	"2,99"		ng/g	"2,99"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PCB-99	"2,92"	"2,92"		ng/g	"2,92"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PCB-101	"0,197"	"0,197"		ng/g	"0,197"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PCB-105	"1,57"	"1,57"		ng/g	"1,57"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PCB-114	"0,0853"	"0,0853"		ng/g	"0,0853"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PCB-118	"4,42"	"4,42"		ng/g	"4,42"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PCB-122	"-0,00269"		"0,00269"	ng/g	"0,00135"	ND
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PCB-123	"0,0643"	"0,0643"		ng/g	"0,0643"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	Sum-PenCB	"10,7"	"10,7"		ng/g	"10,7"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PCB-128	"0,870"	"0,870"		ng/g	"0,870"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PCB-138	"5,99"	"5,99"		ng/g	"5,99"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PCB-141	"0,0125"	"0,0125"		ng/g	"0,0125"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PCB-149	"0,290"	"0,290"		ng/g	"0,290"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PCB-153	"8,33"	"8,33"		ng/g	"8,33"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PCB-156	"0,343"	"0,343"		ng/g	"0,343"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PCB-157	"0,0837"	"0,0837"		ng/g	"0,0837"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PCB-167	"0,198"	"0,198"		ng/g	"0,198"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	Sum-HexCB	"10,1"	"10,1"		ng/g	"10,1"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PCB-170	"0,589"	"0,589"		ng/g	"0,589"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PCB-180	"1,81"	"1,81"		ng/g	"1,81"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PCB-183	"0,680"	"0,680"		ng/g	"0,680"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PCB-187	"1,55"	"1,55"		ng/g	"1,55"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PCB-189	"0,0294"	"0,0294"		ng/g	"0,0294"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	Sum-HepCB	"5,30"	"5,30"		ng/g	"5,30"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PCB-194	"0,185"	"0,185"		ng/g	"0,185"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PCB-206	"0,0482"	"0,0482"		ng/g	"0,0482"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PCB-209	"0,00969"	"0,00969"		ng/g	"0,00969"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	Sum 7 PCB	"21,0"	"21,0"		ng/g	"21,0"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	Sum all PCB	"29,5"	"29,5"		ng/g	"29,5"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	TBA	"-0,0254"		"0,0254"	ng/g	"0,0127"	ND
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PBDE-17	"-0,00664"		"0,00664"	ng/g	"0,00332"	ND
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PBDE-28	"-0,00641"		"0,00641"	ng/g	"0,00321"	ND
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PBDE-47	"0,196"	"0,196"		ng/g	"0,196"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PBDE-49	"-0,00465"		"0,00465"	ng/g	"0,00233"	ND
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PBDE-66	"-0,00591"		"0,00591"	ng/g	"0,00296"	ND
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PBDE-71	"-0,00385"		"0,00385"	ng/g	"0,00193"	ND
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PBDE-77	"-0,00338"		"0,00338"	ng/g	"0,00169"	ND
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PBDE-85	"-0,00731"		"0,00731"	ng/g	"0,00366"	ND
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PBDE-99	"0,0424"	"0,0424"		ng/g	"0,0424"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PBDE-100	"0,0383"	"0,0383"		ng/g	"0,0383"	>LOQ
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PBDE-119	"-0,00709"		"0,00709"	ng/g	"0,00355"	ND
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PBDE-126	"-0,00495"		"0,00495"	ng/g	"0,00248"	ND
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PBDE-138	"-0,0179"		"0,0179"	ng/g	"0,00895"	ND
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PBDE-153	"-0,0168"		"0,0168"	ng/g	"0,00840"	ND
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PBDE-154	"-0,0128"		"0,0128"	ng/g	"0,00640"	ND
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PBDE-156	"-0,0238"		"0,0238"	ng/g	"0,0119"	ND
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PBDE-183	"-0,00751"		"0,00751"	ng/g	"0,00376"	ND
20/1730	Gråmåke blod	Skjærholmene	NR-2020-08487	ng/g	ug/g	ng/g	PBDE-184	"-0,00687"		"0,00687"	ng/g	"0,00344"	ND
